"#","Reference","Qty","Value","Footprint","DNP","LCSC"
"1","C1, C3, C6, C8","4","10uF","Capacitor_SMD:C_0805_2012Metric","","C1713"
"2","C2, C4, C5, C7, C15, C16, C17, C18, C19, C20, C21, C22","12","0.1uF","Capacitor_SMD:C_0603_1608Metric","","C1591"
"3","C9, C10","2","470uF","Capacitor_SMD:CP_Elec_6.3x7.7","","C5354997"
"4","C11, C12, C13, C14","4","0.22uF","Capacitor_SMD:C_0603_1608Metric","","C21120"
"5","H1, H2","2","MountingHole","MountingHole:MountingHole_3.2mm_M3","",""
"6","J1","1","Conn_01x19_Pin","Connector_PinHeader_2.54mm:PinHeader_1x19_P2.54mm_Vertical","",""
"7","J2, J3","2","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","","C89120"
"8","JP1","1","Jumper_3_Open","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","",""
"9","R1, R4, R5, R6, R7, R9, R10","7","0","Resistor_SMD:R_1812_4532Metric","DNP",""
"10","R2, R3, R8","3","0","Resistor_SMD:R_1812_4532Metric","","C270976"
"11","R11, R12","2","2.2k","Resistor_SMD:R_1812_4532Metric","DNP",""
"12","U1","1","SSM3582ACPZ","SSM3582_ClassD_Audio_Amp:CP_40_7_ADI","","C4991352"
"13","U2, U3, U4","3","74LVC1T45W6-7","DigiKey:SOT-23-6","","C168856"
"14","U5","1","PCA9517ADP","I2C_Level_Shift:SOT505-1_NXP","","C80799"
