Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,179.07,-90.49,90,top
C2,0.1uF,C_0603_1608Metric,146.685,-84.58,-90,top
C3,10uF,C_0805_2012Metric,179.07,-95.311,-90,top
C4,0.1uF,C_0603_1608Metric,177.165,-95.11,-90,top
C5,0.1uF,C_0603_1608Metric,172.44,-98.3742,0,top
C6,10uF,C_0805_2012Metric,172.4406,-100.9142,0,top
C7,0.1uF,C_0603_1608Metric,172.16,-88.265,0,top
C8,10uF,C_0805_2012Metric,172.125,-85.725,0,top
C11,0.22uF,C_0603_1608Metric,175.475,-88.265,0,top
C12,0.22uF,C_0603_1608Metric,168.845,-88.265,180,top
C13,0.22uF,C_0603_1608Metric,176.009,-97.79,0,top
C14,0.22uF,C_0603_1608Metric,169.125,-97.79,180,top
C15,0.1uF,C_0603_1608Metric,147.32,-114.2075,-90,top
C16,0.1uF,C_0603_1608Metric,141.605,-114.2075,-90,top
C17,0.1uF,C_0603_1608Metric,134.62,-114.2075,-90,top
C18,0.1uF,C_0603_1608Metric,177.165,-90.665,90,top
C19,0.1uF,C_0603_1608Metric,144.145,-84.58,-90,top
C20,0.1uF,C_0603_1608Metric,144.145,-114.2075,90,top
C21,0.1uF,C_0603_1608Metric,138.43,-114.2075,-90,top
C22,0.1uF,C_0603_1608Metric,131.445,-114.2075,-90,top
J2,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",187.325,-87.63,90,top
J3,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",187.325,-103.505,90,top
JP1,Jumper_3_Open,PinHeader_1x03_P2.54mm_Vertical,145.415,-96.52,180,top
R1,0,R_1812_4532Metric,153.035,-73.645,-90,top
R2,0,R_1812_4532Metric,147.955,-73.645,-90,top
R3,0,R_1812_4532Metric,158.115,-73.645,-90,top
R4,0,R_1812_4532Metric,142.875,-73.645,90,top
R5,0,R_1812_4532Metric,163.195,-73.645,-90,top
R6,0,R_1812_4532Metric,137.795,-73.645,90,top
R7,0,R_1812_4532Metric,151.765,-112.1625,-90,top
R8,0,R_1812_4532Metric,156.21,-112.1625,-90,top
R9,0,R_1812_4532Metric,165.1,-112.1625,-90,top
R10,0,R_1812_4532Metric,160.655,-112.1625,-90,top
R11,2.2k,R_1812_4532Metric,127.765,-73.645,90,top
R12,2.2k,R_1812_4532Metric,132.715,-73.645,90,top
U1,SSM3582ACPZ,CP_40_7_ADI,172.19,-93.1418,0,top
U2,74LVC1T45W6-7,SOT-23-6,140.25245,-109.942499,-90,top
U3,74LVC1T45W6-7,SOT-23-6,133.10235,-109.942499,-90,top
U4,74LVC1T45W6-7,SOT-23-6,145.80235,-109.947497,-90,top
U5,PCA9517ADP,SOT505-1_NXP,145.415,-80.63,180,top
