Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",77.470000,36.830000,0.000000,top
"C2","2.2uF","C_0603_1608Metric",73.460000,34.320000,0.000000,top
"C3","15pF","C_0603_1608Metric",73.460000,36.830000,0.000000,top
"C4","15pF","C_0603_1608Metric",59.590000,17.990000,0.000000,top
"C5","0.1uF","C_0603_1608Metric",66.810000,31.180000,0.000000,top
"C6","0.1uF","C_0603_1608Metric",66.810000,28.670000,0.000000,top
"C7","2.2uF","C_0603_1608Metric",70.820000,31.180000,0.000000,top
"C8","2.2uF","C_0603_1608Metric",74.830000,31.810000,0.000000,top
"C9","2.2uF","C_0603_1608Metric",45.230000,17.770000,0.000000,top
"C10","0.1uF","C_0603_1608Metric",68.140000,26.160000,0.000000,top
"C11","0.1uF","C_0603_1608Metric",49.240000,17.770000,0.000000,top
"C12","0.1uF","C_0603_1608Metric",77.470000,34.320000,0.000000,top
"C13","0.1uF","C_0603_1608Metric",64.130000,25.030000,0.000000,top
"C14","0.1uF","C_0603_1608Metric",55.580000,17.990000,0.000000,top
"C15","0.1uF","C_0603_1608Metric",70.820000,28.670000,0.000000,top
"J1","Conn_02x15_Odd_Even","PinHeader_2x15_P2.54mm_Vertical",24.130000,92.710000,0.000000,top
"J2","Conn_02x15_Odd_Even","PinHeader_2x15_P2.54mm_Vertical",24.130000,39.370000,0.000000,top
"J3","Barrel_Jack_Switch","BarrelJack_GCT_DCJ200-10-A_Horizontal",10.160000,82.550000,-90.000000,top
"J4","Conn_02x05_Odd_Even","IDC-Header_2x05_P2.54mm_Vertical",1.270000,53.340000,0.000000,top
"P1","USB_C_Plug_USB2.0","USB_C_Receptacle_JAE_DX07S016JA1R1500",0.000000,20.320000,-90.000000,top
"R1","27R","R_0603_1608Metric",57.520000,27.540000,0.000000,top
"R2","27R","R_0603_1608Metric",64.130000,22.520000,0.000000,top
"R3","1k00","R_0603_1608Metric",61.530000,27.540000,0.000000,top
"U1","TPS54331DR","TI_SO-PowerPAD-8_ThermalVias",57.850000,22.520000,0.000000,top
"U2","W25Q32JVSS","SOIC-8_5.23x5.23mm_P1.27mm",48.400000,22.410000,0.000000,top
"U3","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",60.160000,33.440000,0.000000,top
"U4","ADAU1452","LFCSP-72-1EP_10x10mm_P0.5mm_EP5.3x5.3mm",49.370000,31.940000,0.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",68.130000,35.260000,0.000000,top
