Ref,Val,Package,PosX,PosY,Rot,Side
"A1","RPi_Pico","Rpi_Pico",3.175000,16.622497,90.000000,top
"C1","10uF 25V X5R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",0.000000,80.645000,180.000000,top
"C2","0.1uF 50V X7R","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",0.000000,78.105000,0.000000,top
"C3","0.1uF 50V X7R","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",6.350000,81.915000,180.000000,top
"C4","10pF 50V C0G","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",93.345000,21.590000,90.000000,top
"C5","10pF 50V C0G","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",88.900000,17.780000,180.000000,top
"C6","10uF 25V X5R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",16.510000,76.835000,90.000000,top
"C7","0.1uF 50V X7R","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",97.790000,20.320000,180.000000,top
"C8","10uF 25V X5R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.050000,76.835000,90.000000,top
"C9","150pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",78.105000,18.415000,90.000000,top
"C10","10uF 25V X5R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",82.550000,18.161000,-90.000000,top
"C11","5.6nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",80.010000,18.415000,90.000000,top
"C12","10uF 25V X5R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",13.970000,67.564000,0.000000,top
"C13","0.1uF 50V X7R","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",74.295000,18.415000,90.000000,top
"C14","10uF 25V X5R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",3.810000,67.310000,180.000000,top
"C15","0.1uF 50V X7R","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",72.390000,18.415000,90.000000,top
"C16","0.1uF 50V X7R","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",80.010000,36.830000,-90.000000,top
"C17","0.1uF 50V X7R","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",64.770000,23.495000,0.000000,top
"C18","0.1uF 50V X7R","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",64.770000,32.385000,0.000000,top
"C19","0.1uF 50V X7R","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",83.185000,22.860000,180.000000,top
"C20","10uF 25V X5R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",0.000000,61.595000,180.000000,top
"C21","0.1uF 50V X7R","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",68.580000,18.415000,90.000000,top
"C22","0.1uF 50V X7R","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",83.185000,33.655000,180.000000,top
"C23","0.1uF 50V X7R","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",83.185000,20.955000,180.000000,top
"C24","0.1uF 50V X7R","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",70.485000,36.830000,-90.000000,top
"C25","0.1uF 50V X7R","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",0.000000,59.055000,0.000000,top
"C26","10uF 25V X5R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",82.550000,36.830000,90.000000,top
"C27","10uF 25V X5R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",61.595000,17.780000,90.000000,top
"C28","33pF 50V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",86.995000,26.670000,0.000000,top
